Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Oil_Price
5/19/2017,137.75,138.419998,137.660004,137.839996,133.054352,36730100,2.23,50.32
5/22/2017,138.149994,139.070007,138.100006,139,134.174072,19509700,2.25,50.81
5/23/2017,139.410004,139.419998,138.779999,139.139999,134.30925,19687500,2.29,51.12
5/24/2017,139.559998,139.850006,139.169998,139.779999,134.927032,15891900,2.26,50.99
5/25/2017,140.309998,141.330002,140.009995,140.970001,136.075699,23928600,2.25,48.57
5/26/2017,141,141.279999,140.809998,141.220001,136.317001,13851600,2.25,49.58
5/30/2017,141.149994,141.509995,141.059998,141.339996,136.432831,20306400,0,49.63
5/31/2017,141.839996,141.839996,140.570007,141.289993,136.384613,33229400,2.21,48.29
6/1/2017,141.580002,141.899994,140.979996,141.839996,136.915497,20120700,2.21,48.32
6/2/2017,142.339996,143.490005,142.110001,143.460007,138.479248,37222900,2.21,47.68
6/5/2017,143.449997,143.679993,143.229996,143.429993,138.450272,15727500,2.15,47.4
6/6/2017,143.259995,143.729996,142.649994,142.860001,137.90007,22393000,2.18,48.13
6/7/2017,143.259995,143.539993,142.600006,143.419998,138.440643,18842400,2.14,45.8
6/8/2017,143.740005,143.800003,142.789993,143.570007,138.585434,25417400,2.18,45.68
6/9/2017,143.740005,143.899994,138.110001,139.979996,135.120071,109783700,2.19,45.82
6/12/2017,138.800003,139.479996,137.470001,139.229996,134.396057,104454000,2.21,46.1
6/13/2017,140.009995,140.559998,139.279999,140.360001,135.486862,51193000,2.21,46.41
6/14/2017,140.929993,140.929993,138.619995,139.75,134.898026,60093800,2.21,44.79
6/15/2017,138.339996,139.279999,137.490005,139.130005,134.299576,55145200,2.15,44.47
6/16/2017,138.679993,138.779999,137.639999,138.149994,133.716873,48087400,2.16,44.73
6/19/2017,139.490005,140.589996,139.279999,140.460007,135.952744,39626500,2.16,44.24
6/20/2017,140.320007,140.5,139.309998,139.360001,134.888077,40935100,2.19,43.34
6/21/2017,139.679993,140.809998,139.589996,140.740005,136.22377,35743400,2.16,42.48
6/22/2017,140.960007,141.220001,140.339996,140.699997,136.185074,24099100,2.16,42.53
6/23/2017,140.539993,141.419998,140.149994,141.240005,136.707764,21654300,2.15,42.86
6/26/2017,142.050003,142.289993,140.270004,140.580002,136.068909,34411100,2.15,43.24
6/27/2017,140.050003,140.220001,138.020004,138.029999,133.600723,65957800,2.14,44.25
6/28/2017,138.539993,140.139999,137.740005,140.020004,135.526901,57427200,2.21,44.74
6/29/2017,139.440002,139.440002,136.25,137.589996,133.17485,88769400,2.22,44.88
6/30/2017,137.979996,138.669998,137.190002,137.639999,133.223251,68898300,2.27,46.02
7/3/2017,138.270004,138.429993,136.100006,136.190002,131.819778,32797000,2.31,0
7/5/2017,136.619995,137.899994,136.160004,137.529999,133.11676,42116600,2.35,45.11
7/6/2017,136.479996,137.059998,135.800003,136.289993,131.916565,48430500,0,45.52
7/7/2017,136.75,138.130005,136.740005,137.759995,133.339386,36970400,2.33,44.25
7/10/2017,137.850006,138.990005,137.5,138.660004,134.21048,24853500,2.37,44.4
7/11/2017,138.460007,139.220001,137.940002,139.050003,134.588013,31517700,2.39,45.06
7/12/2017,140.240005,140.860001,139.960007,140.699997,136.185074,36045800,2.38,45.48
7/13/2017,140.869995,141.350006,140.600006,141.009995,136.485107,31073600,2.37,46.06
7/14/2017,141.639999,142.300003,141.190002,142.119995,137.559464,34544800,2.33,46.53
7/17/2017,142.270004,142.690002,141.919998,142.190002,137.627258,25343200,2.35,46.02
7/18/2017,142.089996,143.169998,141.639999,143.139999,138.546783,25748500,2.33,46.4
7/19/2017,143.559998,144.190002,143.5,143.979996,139.359818,33752300,2.31,47.1
7/20/2017,144.350006,144.440002,143.520004,144.169998,139.543686,36139400,2.27,46.73
7/21/2017,143.639999,144.110001,143.350006,144.110001,139.485611,39697100,2.27,45.78
7/24/2017,144.089996,144.869995,143.919998,144.770004,140.124481,26712700,2.27,46.21
7/25/2017,144.289993,144.740005,144.009995,144.399994,139.766327,28120900,2.24,47.77
7/26/2017,144.759995,144.949997,144.529999,144.869995,140.221252,18610600,2.26,48.58
7/27/2017,145.820007,145.960007,142.300003,143.960007,139.340454,80665900,2.33,49.05
7/28/2017,143.100006,144.080002,142.869995,143.839996,139.224304,38013200,2.29,49.72
7/31/2017,144.25,144.429993,142.919998,143.229996,138.633865,33848600,2.32,50.21
8/1/2017,143.720001,143.759995,143.119995,143.559998,138.953308,20149400,2.3,49.19
8/2/2017,144.490005,144.520004,142.610001,143.949997,139.330765,41769700,2.3,49.6
8/3/2017,144.089996,144.169998,143.130005,143.389999,138.788712,27112800,2.26,49.03
8/4/2017,143.710007,143.970001,143.059998,143.649994,139.040375,29472900,2.27,49.57
8/7/2017,143.910004,144.559998,143.710007,144.559998,139.921158,17933900,2.24,49.37
8/8/2017,144.279999,145.470001,143.899994,144.309998,139.679199,30810400,2.27,49.07
8/9/2017,143.119995,144.190002,142.789993,144.119995,139.495316,36169500,2.26,49.59
8/10/2017,143.300003,143.399994,140.889999,141.029999,136.504501,63331700,2.29,48.54
8/11/2017,141.220001,142.410004,140.899994,142.100006,137.540131,45862500,2.24,48.81
8/14/2017,143.229996,144.149994,143.190002,143.929993,139.311386,34161000,2.2,47.59
8/15/2017,144.289993,144.300003,143.639999,144.029999,139.408218,25509200,2.19,47.57
8/16/2017,144.389999,144.960007,143.800003,144.279999,139.650177,31913000,2.22,46.8
8/17/2017,143.720001,143.940002,141.330002,141.330002,136.794815,70191000,2.27,47.07
8/18/2017,141.410004,142.199997,140.649994,141.229996,136.698074,60751900,2.23,48.59
8/21/2017,141.220001,141.529999,140.179993,141.050003,136.523804,37111500,2.19,47.39
8/22/2017,141.809998,143.350006,141.759995,143.199997,138.604828,36294200,2.19,47.65
8/23/2017,142.479996,143.009995,142.380005,142.690002,138.111221,25702300,2.18,48.45
8/24/2017,143.009995,143.169998,141.470001,142.270004,137.704681,38160800,2.22,47.24
8/25/2017,142.820007,143.179993,141.779999,141.970001,137.414322,26380400,2.17,47.65
8/28/2017,142.399994,142.740005,141.949997,142.410004,137.840195,15362100,2.19,46.4
8/29/2017,141.190002,143.210007,141.059998,142.970001,138.382202,24498300,2.17,46.46
8/30/2017,143.089996,144.889999,143,144.649994,140.008301,33642700,2.16,45.96
8/31/2017,145.059998,146.210007,144.979996,146.199997,141.508575,38480700,2.13,47.26
9/1/2017,146.389999,146.589996,145.610001,146,141.314957,22293600,2.15,47.32
9/5/2017,145.570007,145.880005,143.600006,144.690002,140.047012,44794300,2.12,48.63
9/6/2017,145.059998,145.460007,144.080002,145.130005,140.472916,30722700,2.16,49.13
9/7/2017,145.399994,145.839996,144.940002,145.470001,140.802017,22721100,0,49.1
9/8/2017,145.279999,145.350006,144.059998,144.210007,139.582413,27890100,2.07,47.44
9/11/2017,145.339996,146.119995,145.300003,145.869995,141.189148,27126300,2.1,48.06
9/12/2017,146.279999,146.410004,145.529999,146.220001,141.527939,30256700,2.05,48.21
9/13/2017,145.970001,146.440002,145.729996,146.419998,141.721512,28450900,2.06,49.3
9/14/2017,145.850006,146.289993,145.470001,145.559998,140.889099,35296400,2.14,49.86
9/15/2017,145.529999,146.589996,145.289993,146.059998,141.373047,46422400,2.17,49.9
9/18/2017,145.910004,146.369995,145.110001,145.550003,141.187775,24858200,2.2,49.88
9/19/2017,145.809998,146.009995,145.309998,145.800003,141.430313,20871200,2.2,49.54
9/20/2017,145.75,145.910004,144.229996,145.350006,140.99379,34236200,2.2,50.29
9/21/2017,145.25,145.259995,143.949997,144.460007,140.130463,28841800,2.23,50.58
9/22/2017,144,144.529999,143.850006,144.320007,139.99469,21702400,2.24,50.33
9/25/2017,143.75,143.830002,142.100006,142.800003,138.520218,54947700,2.28,51.85
9/26/2017,143.529999,143.800003,142.669998,143.169998,138.87915,29628800,2.27,51.59
9/27/2017,143.929993,145,143.570007,144.460007,140.130463,33249400,2.26,52.14
9/28/2017,144.110001,144.559998,143.779999,144.410004,140.081955,24149400,2.22,51.62
9/29/2017,144.699997,145.559998,144.320007,145.449997,141.090775,43102400,2.24,51.67
10/2/2017,145.669998,146.169998,144.929993,145.580002,141.216904,27351300,2.31,50.59
10/3/2017,145.770004,146.059998,145.449997,145.889999,141.517593,19715200,2.31,50.44
10/4/2017,145.610001,146.339996,145.470001,146.029999,141.653412,26381100,2.33,50
10/5/2017,146.559998,147.539993,146.410004,147.460007,143.040527,31562400,2.34,50.79
10/6/2017,146.960007,147.660004,146.960007,147.660004,143.234543,23561100,2.33,49.34
10/9/2017,147.850006,148.009995,147.300003,147.490005,143.069626,13704800,2.33,49.58
10/10/2017,147.990005,148.139999,146.949997,147.600006,143.176331,19223100,2.35,50.93
10/11/2017,147.529999,148.070007,147.339996,148.039993,143.603149,12439100,2.37,51.3
10/12/2017,147.820007,148.350006,147.619995,147.770004,143.341232,14513500,0,50.61
10/13/2017,148.369995,148.509995,147.779999,148.339996,143.89415,18409900,2.35,51.43
10/16/2017,148.710007,148.889999,148.389999,148.850006,144.388885,21809400,2.35,51.86
10/17/2017,148.800003,149.059998,148.570007,149.039993,144.573166,13138200,2.33,51.87
